Entreprise,Attribut 1,Attribut 2,Attribut 3,Attribut 4,Attribut 5,Attribut 6,Attribut 7,Attribut 8,Attribut 9,Attribut 10,Score d'apétence
enum,double,double,integer,integer,integer,integer,integer,integer,enum,enum,double
Entreprise 939,4.99221207265895,0.49893390699541,1,3,4,6255,2642,384,HELLO 5,SALUT 4,0.999867082854397
Entreprise 1528,6.82224034981335,8.74905356523348,6,10,2,7499,8250,50,HELLO 3,SALUT 5,0.998524254805354
Entreprise 1220,3.12333063330822,5.27776164004401,6,1,6,6065,4936,2771,HELLO 9,SALUT 3,0.997440377157188
Entreprise 537,1.62899920584248,3.66200557018895,2,5,4,7880,6427,4910,HELLO 1,SALUT 5,0.997135291466199
Entreprise 642,8.06380362509166,6.94575256641441,1,10,3,7879,7043,6368,HELLO 5,SALUT 0,0.996823352447043
Entreprise 1514,4.47711057559235,4.32739953362425,9,3,5,8195,5429,308,HELLO 0,SALUT 0,0.996433553164733
Entreprise 601,9.4228344930601,2.98281336235154,0,7,2,9163,5963,6637,HELLO 10,SALUT 8,0.996354803098331
Entreprise 1571,6.51504372674212,0.40394067985031,5,10,4,4514,3755,5458,HELLO 6,SALUT 8,0.995821297849085
Entreprise 151,6.39297054074179,6.64055503214152,6,6,1,8351,7652,2200,HELLO 2,SALUT 6,0.995606872887083
Entreprise 414,2.03962735330094,8.17201503287856,5,9,7,4917,8525,1433,HELLO 4,SALUT 3,0.995402666489204
Entreprise 1458,0.923548849184902,3.10461015747242,5,8,7,8680,4058,6458,HELLO 0,SALUT 8,0.994742267554811
Entreprise 412,2.02367485236287,3.28762751928181,8,2,8,2714,5109,8861,HELLO 5,SALUT 9,0.993859483226121
Entreprise 1084,4.00903771440895,6.99275007316728,1,0,8,2901,3199,8136,HELLO 2,SALUT 9,0.993842195415005
Entreprise 301,9.44843307247791,4.82073963569301,6,4,5,9367,225,6259,HELLO 2,SALUT 6,0.993423511862952
Entreprise 823,1.97278475522436,2.83474247992753,2,4,8,8713,6182,6715,HELLO 3,SALUT 1,0.993173227473557
Entreprise 1390,0.470701986129232,4.73290326670173,6,6,1,6612,4678,4483,HELLO 6,SALUT 1,0.993020165813209
Entreprise 789,8.22593587961289,4.46169986843066,3,9,10,4666,3793,8272,HELLO 4,SALUT 2,0.992739397298266
Entreprise 193,6.29051698357706,6.38599585452448,3,2,9,9008,8734,1321,HELLO 5,SALUT 9,0.992603989797738
Entreprise 542,8.4974453160373,3.31554503552795,4,0,9,2453,8773,9478,HELLO 0,SALUT 5,0.992590067327154
